Time,VR.Avg,VR.Sdv,PR.Avg,PR.Sdv
1,4366.666667,418.993503,364.5833333,78.95366081
5,3316.666667,47.14045208,208.3333333,36.81787006
9,2150,254.9509757,271.6666667,35.19785347
13,1508.333333,155.9023911,163.3333333,27.78888667
17,1833.333333,332.4989557,164.1666667,73.72056852
21,9833.333333,2695.160271,1379.166667,598.6385016
25,16333.33333,1585.524799,2000,501.6638981
29,34541.66667,4756.939376,7312.5,1755.200606
33,110000,14288.69017,17604.16667,12212.35002
37,240000,101632.5079,47666.66667,29008.8588
41,575000,251454.1045,71250,28412.87854
45,1341666.667,116069.9023,90833.33333,6236.095645
49,6729166.667,1132306.52,458333.3333,188561.8083
53,10583333.33,2026731.085,1025000,411931.4263
57,20916666.67,3885514.409,2283333.333,857888.2341
61,46833333.33,15034797.6,5062500,1927838.816
65,79166666.67,16780858.8,7645833.333,3068800.209
69,72916666.67,4823265.376,13958333.33,1487214.025
73,95000000,40671447.81,14750000,5151860.505
81,117291666.7,44873471.81,9437500,1635383.492
91,159583333.3,37113751.57,20833333.33,5038738.819
97,117708333.3,33743569.35,6520833.333,638058.0346
103,72187500,12992886.68,4329166.667,2262473.143
121,61875000,4360093.653,8916666.667,1792151.097
145,42333333.33,14754001.34,7750000,3082207.001
