Time,AfricanNuclues1,AfricanAb1,AfricanNuclues2,AfricanAb2,AfricanNuclues3,AfricanAb3,AsianNuclues1,AsianAb1,AsianNuclues2,AsianAb2,AsianNuclues2,AsianAb2
12,8486,2,8120,10,9591,2,8972,4,10889,0,9994,2
16,14140,112,12615,83,14404,11,11487,72,9164,4,13857,7
20,17600,211,13032,201,13191,21,17979,258,11501,13,11629,39
24,10337,220,9538,204,13256,68,10305,269,8555,12,15115,116
28,9364,517,8632,313,10618,40,11205,482,14286,113,11601,65
32,9622,1617,11197,1602,12130,137,11605,1590,12273,391,9783,244
36,12346,2220,13606,3355,13300,537,12500,2907,13342,485,13251,343
40,17144,6432,15453,5186,14067,891,12184,3353,14851,1016,13793,1092
44,11898,5090,12849,5817,13545,1923,12931,6496,13268,2041,14215,2041
48,14882,10498,12578,9678,15455,5283,12538,8727,16510,7702,15380,5961
52,14271,10119,13928,10485,14957,7405,13340,10243,15701,8231,14851,6533
56,15957,13304,14307,11810,15030,10190,13225,11091,16054,10848,15419,9956
60,8922,7038,12789,11942,12913,8863,12028,10248,11693,9503,11193,8441
64,11308,10862,10588,10293,11348,10338,9689,9367,11225,10572,10128,9519
