time,Afican_ExpressingPercentage_average,Afican_ExpressingPercentage_deviation,Asian_ExpressingPercentage_average,Asian_ExpressingPercentage_average
13,0.055857941,0.047597498,0.02153,0.01823
17,0.508797924,0.310638922,0.24032,0.27329
21,0.966806788,0.588030143,0.6278,0.57795
25,1.593355163,0.763956067,1.1727,1.04834
29,3.174635407,2.124320465,1.88431,1.71191
33,10.74735764,6.876926459,6.46032,5.12771
37,15.55912183,8.590840291,9.82654,9.50567
41,25.80376618,13.86170801,14.09268,9.50449
45,34.08314184,14.0982866,26.65894,16.67665
49,60.55619213,18.83085751,51.67101,13.08376
53,65.23154533,11.26029556,57.73261,13.90441
57,77.90627021,7.155782182,72.00184,8.47682
61,80.29901246,10.14987668,80.62842,4.02167
65,94.78982329,2.651750031,94.94875,1.22442
