Time,African_Rep1_Image,African_Rep1_Count,African_Rep2_Image,African_Rep2_Count,African_Rep3_Image,African_Rep3_Count,Asian_Rep1_Image,Asian_Rep1_Count,Asian_Rep2_Image,Asian_Rep2_Count,Asian_Rep3_Image,Asian_Rep3_Count
0,0,827,0,550,0,569,0,548,0,798,0,1141
0,1,960,1,563,1,556,1,471,1,826,1,988
0,2,593,2,787,2,582,2,570,2,891,2,1256
0,3,646,3,766,3,463,3,489,3,959,3,1125
0,4,832,4,759,4,486,4,507,4,1077,4,1166
0,5,627,5,717,5,501,5,711,5,858,5,1221
0,6,575,6,540,6,433,6,627,6,1071,6,1264
0,7,781,7,672,7,463,7,575,7,1127,7,1125
0,8,649,8,641,8,503,8,567,8,929,8,1171
0,9,600,9,639,9,485,9,587,9,1182,9,1165
4,0,1299,0,825,0,910,0,858,0,662,0,984
4,1,1143,1,984,1,1435,1,898,1,705,1,1004
4,2,1468,2,759,2,1050,2,947,2,758,2,1108
4,3,1308,3,1029,3,1497,3,1102,3,883,3,1472
4,4,1239,4,1197,4,1831,4,989,4,702,4,1496
4,5,1419,5,692,5,1025,5,960,5,751,5,1482
4,6,1303,6,864,6,1345,6,1285,6,830,6,1784
4,7,1309,7,972,7,1831,7,1389,7,876,7,1619
4,8,1617,8,595,8,942,8,1024,8,956,8,1458
4,9,1592,9,718,9,1211,9,1424,9,932,9,1723
8,0,1684,0,875,0,839,0,872,0,1015,0,802
8,1,1388,1,597,1,873,1,937,1,1228,1,1195
8,2,1294,2,1627,2,844,2,941,2,1136,2,997
8,3,1587,3,1270,3,848,3,997,3,1008,3,1458
8,4,1311,4,957,4,1034,4,994,4,1307,4,1680
8,5,983,5,1538,5,802,5,902,5,1372,5,1779
8,6,1428,6,1521,6,807,6,919,6,838,6,788
8,7,1551,7,1289,7,936,7,913,7,1439,7,949
8,8,914,8,1296,8,718,8,885,8,1629,8,812
8,9,1421,9,1540,9,712,9,926,9,1180,9,789
12,0,1067,0,910,0,1082,0,1170,0,1109,0,1134
12,1,928,1,804,1,980,1,1029,1,1015,1,1081
12,2,1081,2,836,2,1026,2,1052,2,1112,2,1120
12,3,1084,3,829,3,985,3,1052,3,1313,3,1024
12,4,1027,4,801,4,947,4,1061,4,1202,4,894
12,5,1040,5,854,5,1235,5,1106,5,893,5,1082
12,6,1082,6,786,6,1012,6,1233,6,1021,6,999
12,7,1021,7,830,7,959,7,982,7,1278,7,971
12,8,991,8,936,8,1038,8,1120,8,991,8,1046
12,9,1103,9,1040,9,1011,9,1136,9,1045,9,899
16,0,1181,0,1102,0,1060,0,1237,0,914,0,1280
16,1,1491,1,1250,1,1164,1,1372,1,766,1,1141
16,2,1165,2,1093,2,1003,2,1174,2,946,2,1689
16,3,1468,3,1332,3,1120,3,1457,3,924,3,1397
16,4,1839,4,1415,4,1329,4,1506,4,762,4,1163
16,5,1107,5,1005,5,983,5,1323,5,1049,5,1727
16,6,1553,6,1305,6,1206,6,1546,6,839,6,1443
16,7,1810,7,1709,7,1479,7,1658,7,775,7,1183
16,8,1190,8,1057,8,1030,8,1464,8,1284,8,1540
16,9,1414,9,1404,9,1244,9,1721,9,1002,9,1353
20,0,1748,0,1242,0,1842,0,1032,0,979,0,1213
20,1,1956,1,1458,1,1797,1,1153,1,1169,1,1018
20,2,1692,2,1226,2,1867,2,1091,2,1006,2,1270
20,3,1918,3,1514,3,1896,3,1324,3,1146,3,1138
20,4,1922,4,1610,4,1865,4,1625,4,1367,4,967
20,5,1670,5,1045,5,1874,5,1190,5,1124,5,1397
20,6,1906,6,1211,6,1913,6,1468,6,1242,6,1120
20,7,1772,7,1485,7,1794,7,1863,7,1397,7,956
20,8,1520,8,1043,8,1734,8,1094,8,1050,8,1479
20,9,1645,9,1275,9,1642,9,1426,9,1047,9,1222
24,0,945,0,807,0,917,0,1442,0,889,0,1672
24,1,978,1,988,1,1037,1,1732,1,904,1,1143
24,2,888,2,803,2,823,2,1083,2,794,2,1786
24,3,984,3,911,3,999,3,1404,3,912,3,1159
